timestamp,instrument,timeframe,direction,status,reason,source,message
2026-06-11T10:32:35,BANKNIFTY,15min,LONG,REJECTED,Live Gate: blocked BANKNIFTY 15min LONG; UNKNOWN regime strictly requires A+ grade.,log:runtime_dashboard_final_verify_20260611.err.log,Live Gate: blocked BANKNIFTY 15min LONG; UNKNOWN regime strictly requires A+ grade.
2026-06-11T10:50:40,MIDCPNIFTY,5min,SHORT,REJECTED,"Live Gate: blocked MIDCPNIFTY 5min SHORT; 5min setup is not A/A+ or very high-confidence (B+, 65%).",log:runtime_dashboard_release_20260611.err.log,"Live Gate: blocked MIDCPNIFTY 5min SHORT; 5min setup is not A/A+ or very high-confidence (B+, 65%)."
2026-06-11T11:20:24,SENSEX,5min,LONG,REJECTED,"Live Gate: blocked SENSEX 5min LONG; 5min setup is not A/A+ or very high-confidence (B+, 63%).",log:runtime_5min_signal_fix_verified_20260611.err.log,"Live Gate: blocked SENSEX 5min LONG; 5min setup is not A/A+ or very high-confidence (B+, 63%)."
2026-06-11T11:20:44,BANKNIFTY,5min,LONG,REJECTED,"Live Gate: blocked BANKNIFTY 5min LONG; 5min setup is not A/A+ or very high-confidence (B+, 63%).",log:runtime_5min_signal_fix_verified_20260611.err.log,"Live Gate: blocked BANKNIFTY 5min LONG; 5min setup is not A/A+ or very high-confidence (B+, 63%)."
2026-06-11T11:25:23,BANKNIFTY,5min,LONG,REJECTED,"Live Gate: blocked BANKNIFTY 5min LONG; 5min setup is not A/A+ or very high-confidence (B+, 56%).",log:runtime_5min_signal_fix_verified_20260611.err.log,"Live Gate: blocked BANKNIFTY 5min LONG; 5min setup is not A/A+ or very high-confidence (B+, 56%)."
2026-06-11T12:30:27,MIDCPNIFTY,5min,LONG,REJECTED,"Live Gate: blocked MIDCPNIFTY 5min LONG; 5min setup is not A/A+ or very high-confidence (B, 45%).",log:runtime_full_audit_verified_20260611.err.log,"Live Gate: blocked MIDCPNIFTY 5min LONG; 5min setup is not A/A+ or very high-confidence (B, 45%)."
2026-06-11T13:10:25,MIDCPNIFTY,5min,SHORT,REJECTED,"Live Gate: blocked MIDCPNIFTY 5min SHORT; 5min setup is not A/A+ or very high-confidence (B+, 63%).",log:runtime_full_audit_final_20260611.err.log,"Live Gate: blocked MIDCPNIFTY 5min SHORT; 5min setup is not A/A+ or very high-confidence (B+, 63%)."
2026-06-11T13:33:02,SENSEX,5min,LONG,REJECTED,"Live Gate: blocked SENSEX 5min LONG; 5min setup is not A/A+ or very high-confidence (B+, 60%).",log:runtime_full_audit_final_20260611.err.log,"Live Gate: blocked SENSEX 5min LONG; 5min setup is not A/A+ or very high-confidence (B+, 60%)."
2026-06-11T14:37:18,SENSEX,5min,SHORT,REJECTED,"Live Gate: blocked SENSEX 5min SHORT; 5min setup is not A/A+ or very high-confidence (B+, 63%).",log:runtime_full_audit_final_20260611.err.log,"Live Gate: blocked SENSEX 5min SHORT; 5min setup is not A/A+ or very high-confidence (B+, 63%)."
2026-06-11T14:37:25,NIFTY,5min,SHORT,REJECTED,"Live Gate: blocked NIFTY 5min SHORT; 5min setup is not A/A+ or very high-confidence (B+, 62%).",log:runtime_full_audit_final_20260611.err.log,"Live Gate: blocked NIFTY 5min SHORT; 5min setup is not A/A+ or very high-confidence (B+, 62%)."
2026-06-11T14:40:43,SENSEX,5min,SHORT,REJECTED,"Live Gate: blocked SENSEX 5min SHORT; 5min setup is not A/A+ or very high-confidence (B+, 65%).",log:runtime_full_audit_final_20260611.err.log,"Live Gate: blocked SENSEX 5min SHORT; 5min setup is not A/A+ or very high-confidence (B+, 65%)."
2026-06-11T14:41:50,NIFTY,5min,SHORT,REJECTED,"Live Gate: blocked NIFTY 5min SHORT; 5min setup is not A/A+ or very high-confidence (B+, 63%).",log:runtime_full_audit_final_20260611.err.log,"Live Gate: blocked NIFTY 5min SHORT; 5min setup is not A/A+ or very high-confidence (B+, 63%)."
